Virginia,/opt/fall16/,fall16_virginia.log,1,2,3
11/19/16 14:39,epoch43.sc16,2480e6,60,60,55
11/19/16 14:42,epoch44.sc16,2412e6,60,60,55
11/19/16 14:45,epoch45.sc16,2437e6,60,60,55
11/19/16 14:48,epoch46.sc16,2462e6,60,60,55
11/19/16 14:51,epoch47.sc16,2480e6,60,60,55
11/19/16 14:54,epoch48.sc16,2412e6,60,60,55
11/19/16 14:57,epoch49.sc16,2437e6,60,60,55
11/19/16 15:00,epoch50.sc16,2462e6,60,60,55
11/19/16 15:03,epoch51.sc16,2480e6,60,60,55
11/19/16 15:06,epoch52.sc16,2412e6,60,60,55
11/19/16 15:09,epoch53.sc16,2437e6,60,60,55
11/19/16 15:12,epoch54.sc16,2462e6,60,60,55
11/19/16 15:15,epoch55.sc16,2480e6,60,60,55
11/19/16 15:18,epoch56.sc16,2412e6,60,60,55
11/19/16 15:21,epoch57.sc16,2437e6,60,60,55
11/19/16 15:24,epoch58.sc16,2462e6,60,60,55
11/19/16 15:27,epoch59.sc16,2480e6,60,60,55
11/19/16 15:30,epoch60.sc16,2412e6,60,60,55
11/19/16 15:33,epoch61.sc16,2437e6,60,60,55
11/19/16 15:36,epoch62.sc16,2462e6,60,60,55
11/19/16 15:39,epoch63.sc16,2480e6,60,60,55
11/19/16 15:42,epoch64.sc16,2412e6,60,60,55
11/19/16 15:45,epoch65.sc16,2437e6,60,60,55
11/19/16 15:48,epoch66.sc16,2462e6,60,60,55
11/19/16 15:51,epoch67.sc16,2480e6,60,60,55
11/19/16 15:54,epoch68.sc16,2412e6,60,60,55
11/19/16 15:57,epoch69.sc16,2437e6,60,60,55
11/19/16 16:00,epoch70.sc16,2462e6,60,60,55
11/19/16 16:03,epoch71.sc16,2480e6,60,60,55
