Virginia,/opt/fall16/,fall16_virginia.log,1,2,3
11/19/2016 14:00,epoch40.sc16,2412e6,60,60,55
11/19/2016 14:03,epoch41.sc16,2437e6,60,60,55
11/19/2016 14:06,epoch42.sc16,2462e6,60,60,55
11/19/2016 14:09,epoch43.sc16,2480e6,60,60,55
11/19/2016 14:12,epoch44.sc16,2412e6,60,60,55
11/19/2016 14:15,epoch45.sc16,2437e6,60,60,55
11/19/2016 14:18,epoch46.sc16,2462e6,60,60,55
11/19/2016 14:21,epoch47.sc16,2480e6,60,60,55
11/19/2016 14:24,epoch48.sc16,2412e6,60,60,55
11/19/2016 14:27,epoch49.sc16,2437e6,60,60,55
11/19/2016 14:30,epoch50.sc16,2462e6,60,60,55
11/19/2016 14:33,epoch51.sc16,2480e6,60,60,55
11/19/2016 14:36,epoch52.sc16,2412e6,60,60,55
11/19/2016 14:39,epoch53.sc16,2437e6,60,60,55
11/19/2016 14:42,epoch54.sc16,2462e6,60,60,55
11/19/2016 14:45,epoch55.sc16,2480e6,60,60,55
11/19/2016 14:48,epoch56.sc16,2412e6,60,60,55
11/19/2016 14:51,epoch57.sc16,2437e6,60,60,55
11/19/2016 14:54,epoch58.sc16,2462e6,60,60,55
11/19/2016 14:57,epoch59.sc16,2480e6,60,60,55
11/19/2016 15:00,epoch60.sc16,2412e6,60,60,55
11/19/2016 15:03,epoch61.sc16,2437e6,60,60,55
11/19/2016 15:06,epoch62.sc16,2462e6,60,60,55
11/19/2016 15:09,epoch63.sc16,2480e6,60,60,55
11/19/2016 15:12,epoch64.sc16,2412e6,60,60,55
11/19/2016 15:15,epoch65.sc16,2437e6,60,60,55
11/19/2016 15:18,epoch66.sc16,2462e6,60,60,55
11/19/2016 15:21,epoch67.sc16,2480e6,60,60,55
11/19/2016 15:24,epoch68.sc16,2412e6,60,60,55
11/19/2016 15:27,epoch69.sc16,2437e6,60,60,55
11/19/2016 15:30,epoch70.sc16,2462e6,60,60,55
11/19/2016 15:33,epoch71.sc16,2480e6,60,60,55
